"Type","Range","LIB_Chem","kgco2e_kwh"
"CAR","300mile","LFP",41.7905017494751
"CAR","300mile","NCA",54.1536872462259
"CAR","300mile","NMC111",51.8251311900733
"CAR","300mile","NMC532",49.8369783638321
"CAR","300mile","NMC622",50.5280168983957
"CAR","300mile","NMC811",49.9744227617603
"PUT","300mile","LFP",40.7086210810811
"PUT","300mile","NCA",53.0278421991085
"PUT","300mile","NMC111",50.7075791060851
"PUT","300mile","NMC532",48.778733436373
"PUT","300mile","NMC622",49.3783061640346
"PUT","300mile","NMC811",48.8295278231619
